id,Response
57782,0.0
286811,1.0
117823,0.0
213992,0.0
324756,0.0
425764,0.0
2934,1.0
99098,1.0
120076,0.0
272687,0.0
267856,1.0
72816,0.0
333425,0.0
340300,1.0
109149,0.0
56564,0.0
327695,0.0
121415,1.0
135475,0.0
123111,0.0
460198,1.0
470502,0.0
298001,1.0
289863,0.0
366881,0.0
354795,1.0
234722,1.0
145030,0.0
247634,1.0
334223,0.0
219786,1.0
368423,0.0
215693,0.0
245902,0.0
15508,0.0
426604,0.0
471471,0.0
477820,1.0
44423,0.0
290504,0.0
19435,0.0
233561,0.0
97275,0.0
300590,0.0
210794,1.0
290763,0.0
164680,1.0
481448,0.0
380926,0.0
361941,0.0
345676,1.0
463955,0.0
198974,1.0
225389,0.0
108177,1.0
423589,0.0
408711,1.0
95788,0.0
38980,1.0
158556,1.0
397108,1.0
70021,1.0
125375,1.0
20293,0.0
107824,0.0
170130,0.0
40607,0.0
63365,0.0
35399,1.0
213556,0.0
487215,0.0
88870,0.0
17317,1.0
491014,1.0
251993,0.0
494670,0.0
47465,0.0
435709,1.0
202013,0.0
265624,1.0
68150,0.0
251009,0.0
77902,0.0
331274,1.0
48944,1.0
250779,0.0
447089,0.0
375597,0.0
432875,0.0
282937,0.0
273279,0.0
268618,1.0
61521,1.0
182307,0.0
243458,1.0
213061,1.0
174001,1.0
335580,1.0
10883,0.0
192776,0.0
319944,0.0
310602,0.0
470565,0.0
362512,1.0
3287,0.0
219801,1.0
88750,0.0
43171,1.0
11493,1.0
343694,0.0
230793,1.0
222612,0.0
273235,0.0
455033,0.0
67185,1.0
4522,1.0
49962,0.0
245251,1.0
327457,1.0
344959,0.0
7232,0.0
16965,0.0
161570,0.0
137998,0.0
459975,0.0
288576,1.0
310375,0.0
353420,0.0
226293,0.0
317043,1.0
136646,1.0
455621,0.0
284376,0.0
314871,1.0
196073,1.0
273225,1.0
431864,0.0
281843,1.0
366355,0.0
299639,0.0
237561,0.0
450146,0.0
182009,0.0
493120,1.0
168568,0.0
367694,1.0
372951,0.0
472365,1.0
191728,0.0
13816,1.0
97294,0.0
326479,1.0
226875,0.0
315602,1.0
164530,0.0
243341,0.0
200412,0.0
233858,0.0
432725,0.0
